epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,21629.1,0.41118,0.32573,0.95122,0.94785,0.91409,0.96079,0.89793,0.38286,0.32108,0.87557,0.001783,0.001783,0.001783
85,21883.2,0.4085,0.32151,0.94778,0.94831,0.91405,0.96076,0.89772,0.38388,0.32114,0.87657,0.001684,0.001684,0.001684
86,22138,0.40624,0.31731,0.94468,0.94913,0.91414,0.96066,0.89827,0.38375,0.32158,0.87642,0.001585,0.001585,0.001585
87,22392.3,0.40362,0.31452,0.9438,0.94997,0.91286,0.96047,0.8981,0.38356,0.32209,0.87606,0.001486,0.001486,0.001486
88,22647.1,0.3996,0.31143,0.94266,0.95148,0.9111,0.96026,0.89788,0.38315,0.32234,0.87539,0.001387,0.001387,0.001387
89,22901.5,0.39895,0.30844,0.94201,0.95149,0.9108,0.96012,0.89796,0.38335,0.32262,0.87536,0.001288,0.001288,0.001288
90,23155.8,0.39836,0.304,0.94421,0.95222,0.91103,0.96017,0.89815,0.38275,0.32221,0.8746,0.001189,0.001189,0.001189
91,23430.5,0.27359,0.17167,0.84652,0.95182,0.91174,0.96,0.89796,0.38277,0.32281,0.87448,0.00109,0.00109,0.00109
92,23690.6,0.26964,0.16605,0.84436,0.95224,0.91208,0.95984,0.89804,0.38304,0.32315,0.87461,0.000991,0.000991,0.000991
93,23947.4,0.26463,0.16227,0.8418,0.95098,0.91339,0.95986,0.89893,0.38318,0.32284,0.87446,0.000892,0.000892,0.000892
94,24207.2,0.25888,0.15714,0.8389,0.95104,0.91257,0.95976,0.89873,0.38303,0.3229,0.87413,0.000793,0.000793,0.000793
95,24467.6,0.25499,0.154,0.83743,0.95249,0.9119,0.95966,0.89872,0.38213,0.32456,0.87353,0.000694,0.000694,0.000694
96,24725.3,0.25184,0.15114,0.83783,0.95122,0.91338,0.95953,0.89876,0.38229,0.32414,0.87362,0.000595,0.000595,0.000595
97,24981.9,0.24815,0.14743,0.83458,0.95061,0.91319,0.95983,0.89972,0.38222,0.32404,0.87347,0.000496,0.000496,0.000496
98,25236.5,0.24528,0.14678,0.83272,0.95067,0.9129,0.95966,0.89903,0.38236,0.3242,0.87345,0.000397,0.000397,0.000397
99,25488.8,0.24225,0.14172,0.83239,0.95381,0.91125,0.95972,0.89914,0.38239,0.32435,0.87324,0.000298,0.000298,0.000298
100,25741.6,0.23805,0.13923,0.83207,0.95397,0.91175,0.95981,0.89942,0.3823,0.32446,0.87287,0.000199,0.000199,0.000199
